Attribute:PROVCODE,Attribute:MAINCODE,Attribute:BED,Attribute:NAME,Attribute:LON,Attribute:LAT,Attribute:TYPECODE,Attribute:TOTAL
10,21810,0,กรมแพทย์ทหารอากาศ กองบัญชาการสนับสนุนทหารอากาศ,13.910892,100.619619,8,
10,21809,0,กรมแพทย์ทหารเรือ,13.70943471,100.4857689,9,
10,12479,0,กองบริการทางการแพทย์การประปานครหลวง,13.88098,100.553076,8,
10,12449,0,กองพยาบาล กรมแผนที่ทหารกองบัญชากองทัพไทย,13.760598,100.507409,8,
10,14131,14,กองพยาบาลโรงเรียนช่างฝีมือทหาร,13.830329,100.573088,8,
10,14966,0,กองเวชศาสตร์ป้องกัน กรมแพทย์ทหารอากาศ,13.911136,100.618811,8,
10,22537,0,กองแพทย์ สำนักงานสนับสนุน หน่วยบัญชาการทหารพัฒนา,13.937628,100.56964,8,
10,12486,0,กองแพทย์บริษัทขนส่ง,13.81256623,100.5478835,8,
10,22338,0,คณบดีคณะพยาบาลศาสตร์ มหาวิทยาลัยมหิดล,13.756031,100.481917,8,
10,21434,11,คณะทันตแพทย์ศาสตร์ มหาลัยมหิดล,13.762588,100.535738,8,
10,21437,0,คณะเทคนิคการแพทย์ มหาวิทยาลัยมหิดล,13.763081,100.490661,8,
10,22036,0,คณะเภสัชศาสตร์ มหาลัยมหิดล,13.760926,100.528666,8,
10,11535,817,คณะแพทยศาสตร์วชิรพยาบาล มหาวิทยาลัยนวมินทราธิราช,13.78062,100.50886,62,
10,19506,0,คณะแพทย์ศาสตร์ จุฬาลงกรณ์,13.742957,100.536508,8,
10,23220,0,คลีนิคนิรนาม ศูนย์วิจัยโรคเอดส์ สภากาชาดไทย,13.73451282,100.5384797,8,
10,15119,0,ทัณฑสถานบำบัดพิเศษกลาง,13.840679,100.573088,8,
10,15122,20,ทัณฑสถานหญิงธนบุรี,13.668892,100.415564,8,
10,11468,350,ทัณฑสถานโรงพยาบาลราชทัณฑ์,13.84996,100.55494,62,
10,23781,201,นวมินทร์ 9 โรงพยาบาลทั่วไปขนาดใหญ่  ,13.81129,100.72161,7,
10,11595,180,นวมินทร์โรงพยาบาลทั่วไปขนาดใหญ่,13.810958,100.721731,7,
10,11627,,บริษัท โรงพยาบาลโกลเด้นเยียส์ จำกัด,13.788952,100.577075,7,
10,22524,0,ฝ่ายแพทย์หลวงพระบรมมหาราชวัง,13.75222705,100.4918844,8,
10,22523,0,ฝ่ายแพทย์หลวงสวนจิตรลดา,13.772081,100.522515,8,
10,24688,0,มูลนิธิแพทย์อาสาสมเด็จพระศรีนครินทราบรมราชชนนี (พอ.สว.),13.74946,100.516483,8,
10,13706,0,วิทยาลัยพยาบาลบรทราชชนนี กรุงเทพ,13.762807,100.536376,9,
10,13730,0,วิทยาลัยพยาบาลบรมราชชนนี นพรัตน์วชิระ กรุงเทพ,13.81916891,100.6879042,9,
10,12444,0,วิทยาลัยแพทยศาสตร์พระมงกุฏเกล้า,13.767335,100.534383,9,
10,22616,0,ศูนย์จักษุรักษาสวนจิตรลดา,13.775035,100.524032,8,
10,13692,0,ศูนย์บริการสาธารณสุข  49  วัดชัยพฤกษมาลา,13.795047,100.466537,8,
10,13695,0,ศูนย์บริการสาธารณสุข  52  สามเสนนอก,13.777596,100.570325,8,
10,13704,0,ศูนย์บริการสาธารณสุข  61  สังวาลย์ ทัสนารมย์,13.928447,100.659458,8,
10,13646,0,ศูนย์บริการสาธารณสุข 1  สะพานมอญ,13.747428,100.496594,8,
10,13656,0,ศูนย์บริการสาธารณสุข 11 ประดิพัทธ์,13.792434,100.539582,8,
10,13657,0,ศูนย์บริการสาธารณสุข 12 จันทร์เที่ยง เนตรวิเศษ,13.691846,100.50782,8,
10,13659,0,ศูนย์บริการสาธารณสุข 14 แก้ว สีบุญเรือง,13.709373,100.514822,8,
10,13660,0,ศูนย์บริการสาธารณสุข 15 ลาดพร้าว,13.80255376,100.5843669,8,
10,13663,0,ศูนย์บริการสาธารณสุข 18  มงคล วอนวังตาล,13.700151,100.526586,8,
10,13664,0,ศูนย์บริการสาธารณสุข 19 วงศ์สว่าง,13.827011,100.526726,8,
10,13647,0,ศูนย์บริการสาธารณสุข 2 วัดมักกะสัน,13.74911888,100.5507803,8,
10,13665,0,ศูนย์บริการสาธารณสุข 20 ธนาคารนครหลวงไทย,13.748999,100.513545,8,
10,13666,0,ศูนย์บริการสาธารณสุข 21 วัดธาตุทอง,13.720031,100.585658,8,
